substitution group,Priority,Usage percentage,component,Assemble P/N
D1,2,0,140-0384,504-2120-CD
A1,2,0,140-0392,504-2120-CD
B1,2,0,140-0645,504-2120-CD
A1,1,100,140-0834,504-2120-CD
A1,1,100,280-0607,280-1975-CD
O1,0,100,310-0414-01,260-0464-CD
O1,0,0,313-0065,260-0464-CD
O1,0,0,313-0083,260-0464-CD
A1,1,100,280-0213,280-1965-CD
A1,2,0,280-0425,280-1965-CD
B1,2,0,283-0098,280-1965-CD
B1,1,100,280-0607,280-1965-CD
A1,2,0,283-0098,280-1963-CD
A1,1,100,280-0607,280-1963-CD
T2,0,100,280-0511-06,260-0385
T2,0,0,280-0511-07,260-0385
T2,0,0,280-0511-08,260-0385
T3,0,0,280-2019-CD,260-0385
T3,0,100,280-1391,260-0385
T6,0,100,101-0001,280-1786
T6,0,0,100-0084,280-1786
T5,0,0,280-0213,280-1786
T5,0,100,280-0425,280-1786
T5,0,0,280-0765,280-1786
T1,0,100,280-1480-27,280-1786
T1,0,0,280-1093-27,280-1786
T2,0,100,280-1480-29,280-1786
T2,0,0,280-1093-29,280-1786
T3,0,100,280-1480-31,280-1786
T3,0,0,280-1093-31,280-1786
T4,0,100,280-1480-33,280-1786
T4,0,0,280-1093-33,280-1786
T1,0,100,310-0109,260-0385
T1,0,0,313-0065,260-0385
A1,0,100,311-0437,502-2723
A1,0,0,311-0460,502-2723
A1,0,100,260-0141-02,502-3423
A1,0,0,260-0236,502-3423
A2,0,100,300-0151,502-3423
A2,0,0,300-0151-RW,502-3423
A3,0,100,310-0591,502-3423
A3,0,0,310-0591-R,502-3423
A1,0,100,260-0141-02,502-3424
A1,0,0,260-0236,502-3424
A2,0,100,300-0151,502-3424
A2,0,0,300-0151-RW,502-3424
A3,0,100,310-0591,502-3424
A3,0,0,310-0591-R,502-3424
